game_pk,date,hp_umpire,n_challenges
823645,2026-04-09,Erich Bacchus,4
824130,2026-04-09,Marvin Hudson,5
823319,2026-04-09,Nic Lentz,10
824695,2026-04-10,Roberto Ortiz,3
823482,2026-04-10,Quinn Wolcott,2
824297,2026-04-10,Lance Barrett,5
824534,2026-04-10,James Jean,2
822829,2026-04-10,Manny Gonzalez,7
823643,2026-04-10,John Libka,2
822997,2026-04-10,Mark Ripperger,5
824858,2026-04-10,Laz Diaz,1
824941,2026-04-10,Dexter Kelley,5
824128,2026-04-10,Tripp Gibson,3
823808,2026-04-10,Mark Wegner,5
823076,2026-04-10,Bill Miller,2
823318,2026-04-10,Hunter Wendelstedt,11
823156,2026-04-10,Austin Jones,6
823968,2026-04-10,Chris Guccione,4
823480,2026-04-11,Brock Ballou,2
824294,2026-04-11,Malachi Moore,2
824697,2026-04-11,Alex MacKay,8
822830,2026-04-11,Tom Hanahan,5
824535,2026-04-11,Adam Beck,3
823644,2026-04-11,James Hoye,4
824129,2026-04-11,Ryan Blakney,3
822996,2026-04-11,Shane Livensparger,4
823805,2026-04-11,Bruce Dreckman,5
824857,2026-04-11,Brian O'Nora,4
823074,2026-04-11,Brian Walsh,5
824939,2026-04-11,Chris Conroy,8
823316,2026-04-11,Edwin Moscoso,2
823967,2026-04-11,Nestor Ceja,3
823155,2026-04-11,Adam Hamari,3
824859,2026-04-12,Chris Segal,5
823479,2026-04-12,Dan Merzel,5
822828,2026-04-12,Derek Thomas,3
824533,2026-04-12,Ben May,2
823642,2026-04-12,D.J. Reyburn,4
824293,2026-04-12,Mike Estabrook,6
822998,2026-04-12,Dan Bellino,5
824126,2026-04-12,Nick Mahrley,2
823804,2026-04-12,Carlos Torres,6
823075,2026-04-12,Chad Fairchild,1
824696,2026-04-12,Alan Porter,6
823317,2026-04-12,Vic Carapazza,3
823154,2026-04-12,Clint Vondrak,1
823966,2026-04-12,Charlie Ramos,7
824938,2026-04-12,John Tumpane,3
823153,2026-04-13,Todd Tichenor,3
824856,2026-04-13,Brennan Miller,6
823400,2026-04-13,Sean Barber,1
823481,2026-04-13,Nate Tomlinson,2
823563,2026-04-13,Ryan Additon,7
824937,2026-04-13,Dan Iassogna,5
823725,2026-04-13,Willie Traynor,3
823073,2026-04-13,Jim Wolf,4
825024,2026-04-13,Mike Muchlinski,3
823964,2026-04-13,Nic Lentz,5
824853,2026-04-14,Chris Conroy,5
824292,2026-04-14,Cory Blaser,3
823398,2026-04-14,John Libka,6
824531,2026-04-14,Paul Clemons,1
823478,2026-04-14,Mark Wegner,1
823562,2026-04-14,Ryan Wills,5
824935,2026-04-14,James Jean,2
823723,2026-04-14,Lance Barrett,5
824616,2026-04-14,Alex Tosi,7
823802,2026-04-14,David Rackley,5
823072,2026-04-14,Roberto Ortiz,4
824210,2026-04-14,Rob Drake,4
823315,2026-04-14,Chad Whitson,3
825022,2026-04-14,Gabe Morales,4
823965,2026-04-14,Hunter Wendelstedt,3
824855,2026-04-15,John Tumpane,4
823071,2026-04-15,Alex MacKay,3
823722,2026-04-15,Malachi Moore,3
824291,2026-04-15,Jansen Visconti,4
823399,2026-04-15,James Hoye,3
824532,2026-04-15,Quinn Wolcott,4
823477,2026-04-15,Bruce Dreckman,3
823561,2026-04-15,Lance Barksdale,4
824936,2026-04-15,Adam Beck,2
824615,2026-04-15,Adam Hamari,3
823803,2026-04-15,Chris Guccione,4
824209,2026-04-15,Stu Scheurwater,5
823314,2026-04-15,Bill Miller,5
825021,2026-04-15,Edwin Jimenez,1
823963,2026-04-15,Edwin Moscoso,5
823396,2026-04-16,D.J. Reyburn,5
824530,2026-04-16,Junior Valentine,4
824289,2026-04-16,Andy Fletcher,4
823560,2026-04-16,Will Little,8
823801,2026-04-16,Nestor Ceja,8
824614,2026-04-16,Austin Jones,9
825023,2026-04-16,Doug Eddings,7
824453,2026-04-16,Carlos Torres,2
824208,2026-04-16,John Bacon,7
823313,2026-04-16,Brian Walsh,7
824693,2026-04-17,Todd Tichenor,4
824454,2026-04-17,Nate Tomlinson,2
823476,2026-04-17,John Libka,3
822752,2026-04-17,Jen Pawol,4
823397,2026-04-17,Brock Ballou,6
823559,2026-04-17,Charlie Ramos,5
823883,2026-04-17,Derek Thomas,6
824778,2026-04-17,Ryan Additon,1
824207,2026-04-17,Alfonso Márquez,2
823720,2026-04-17,Vic Carapazza,3
824373,2026-04-17,Jeremie Rehak,2
824048,2026-04-17,Mike Muchlinski,7
823152,2026-04-17,Jordan Baker,3
825101,2026-04-17,Alan Porter,0
825019,2026-04-17,Chad Fairchild,6
823558,2026-04-18,Tyler Jones,3
823721,2026-04-18,Nic Lentz,4
824694,2026-04-18,Alex Tosi,2
823394,2026-04-18,Adrian Johnson,6
822751,2026-04-18,Brennan Miller,2
825020,2026-04-18,Chad Whitson,7
824775,2026-04-18,Felix Neon,3
823882,2026-04-18,Sean Barber,6
824451,2026-04-18,Mark Wegner,2
824206,2026-04-18,Willie Traynor,2
823151,2026-04-18,Rob Drake,4
823474,2026-04-18,James Hoye,5
824372,2026-04-18,Dan Iassogna,5
825098,2026-04-18,Jim Wolf,0
824049,2026-04-18,Gabe Morales,2
822750,2026-04-19,Ryan Wills,2
823393,2026-04-19,Paul Clemons,1
823556,2026-04-19,Chris Guccione,6
824452,2026-04-19,Bruce Dreckman,7
823881,2026-04-19,Jansen Visconti,3
824205,2026-04-19,Lance Barrett,4
823718,2026-04-19,Hunter Wendelstedt,7
824691,2026-04-19,Adam Hamari,3
824371,2026-04-19,James Jean,5
825018,2026-04-19,Bill Miller,9
824047,2026-04-19,Edwin Jimenez,3
823150,2026-04-19,Stu Scheurwater,6
825100,2026-04-19,Roberto Ortiz,4
824777,2026-04-19,Lance Barksdale,5
823475,2026-04-19,D.J. Reyburn,5
824776,2026-04-20,Will Little,2
824450,2026-04-20,Andy Fletcher,4
822994,2026-04-20,Marvin Hudson,2
823879,2026-04-20,Scott Barry,3
822749,2026-04-20,Erich Bacchus,0
824125,2026-04-20,Quinn Wolcott,7
824692,2026-04-20,Edwin Moscoso,7
